C-H88-0;C-GRGEM;F-ISIS-1
2011;101;13101
2011;102;1896
2011;103;40936
2011;104;26624
2011;105;17573
2011;106;39050
2011;107;55337
2011;108;37583
2011;109;53585
2011;201;94483
2011;202;59324
2011;210;30285
2011;203;18718
2011;204;58499
2011;205;56061
2011;206;78043
2011;207;64499
2011;208;42237
2011;209;54024
2011;301;24032
2011;302;51955
2011;303;11455
2011;304;41305
2011;305;112355
2011;306;139039
2011;307;92808
2011;308;95841
2011;309;37761
2011;310;50301
2011;311;31429
2011;312;85559
2011;313;55874
2011;314;26369
2011;315;76344
2011;316;73962
2011;317;114086
2011;318;85460
2011;319;125438
2011;320;41020
2011;321;96791
2011;322;26738
2011;323;75064
2011;325;43707
2011;401;189889
2011;402;38205
2011;403;58591
2011;404;97826
2011;405;31741
2011;406;65113
2011;407;99403
2011;408;62555
2011;409;55557
2011;410;139116
2011;411;65738
2011;412;58553
2011;413;56688
2011;414;56426
2011;415;58700
2011;416;81400
2011;417;130316
2011;418;67945
2011;501;145270
2011;502;57651
2011;503;143081
2011;504;78138
2011;505;20502
2011;506;84424
2011;601;261726
2011;621;101979
2011;603;60689
2011;606;143258
2011;622;90117
2011;610;79452
2011;611;61912
2011;612;80144
2011;620;73684
2011;614;29186
2011;623;86592
2011;616;52063
2011;617;87773
2011;701;119617
2011;702;56557
2011;703;166762
2011;704;61705
2011;705;101047
2011;706;43591
2011;707;49319
2011;708;31618
2011;709;79103
2011;801;61025
2011;802;126930
2011;803;82386
2011;804;100099
2011;900;1714227
2011;1;285685
2011;2;556173
2011;3;1614693
2011;4;1413762
2011;5;529066
2011;6;1208575
2011;7;709319
2011;8;370440
2011;9;1714227
